model_name,trading_date,selected_symbols,selected_count,daily_return,benchmark_return,avg_buy_probability,daily_cost_rate,daily_return_net,cumulative_return,cumulative_return_net,benchmark_cumulative_return,created_at
model3,2026-02-05,"VHM,NVL,DRI,ACV,CTR",5,0.026203771813410336,-0.014550025806237432,0.39474716782569885,0.004,0.022203771813410336,-0.44583311108435497,-0.6705398427291979,-0.19057559929735068,2026-06-11 18:34:50
model3,2026-02-06,"GEE,VCG,BCM,PC1,DGW",5,0.019574298034833994,0.017027019725510732,0.3978303372859955,0.004,0.015574298034833994,-0.43498568323968345,-0.6654087320492592,-0.176793514060277,2026-06-11 18:34:50
model3,2026-02-09,"GEE,BCM,DST,DGW,VOS",5,0.054041337544691426,0.036053020387163986,0.3835228383541107,0.004,0.05004133754469142,-0.40445155383005593,-0.6486653374702298,-0.14711443383984646,2026-06-11 18:34:50
model3,2026-02-10,"GEE,VHM,DGW,DST,BCM",5,0.061734507285059026,0.044901368684972416,0.38064512610435486,0.004,0.05773450728505902,-0.3676856639413719,-0.628381203836911,-0.10881870458759801,2026-06-11 18:34:50
model3,2026-02-11,"VOS,BCM,DST,VHM,FDC",5,0.06738572437658315,0.028686256962468622,0.37950506806373596,0.004,0.06338572437658314,-0.325076704372363,-0.6048258772501598,-0.08325404894725219,2026-06-11 18:34:50
model3,2026-02-12,"VOS,BCM",2,0.05425468542363554,0.03222602794317329,0.36134499311447144,0.004,0.05025468542363554,-0.2884589532830023,-0.5849665260238055,-0.053710968311835416,2026-06-11 18:34:50
model3,2026-02-13,"GEE,VOS,NVL",3,0.043217966276682396,0.02394387597685509,0.38562190532684326,0.004,0.03921796627668239,-0.25770759632151174,-0.5686897572377128,-0.031053141098835724,2026-06-11 18:34:50
model3,2026-02-23,VOS,1,0.11904761904761907,-0.0036298808413137216,0.35294052958488464,0.004,0.11504761904761907,-0.1693394530264536,-0.519068540737061,-0.034570302738212266,2026-06-11 18:34:50
model3,2026-02-24,"DGC,VHM",2,-0.08748395532683151,-0.014657227992770788,0.371559202671051,0.004,-0.09148395532683151,-0.24200892320964873,-0.5630660528715397,-0.048720825921970023,2026-06-11 18:34:50
model3,2026-02-25,VHM,1,-0.12616822429906538,-0.021986206425956188,0.3717309832572937,0.004,-0.13016822429906538,-0.3376433114028239,-0.6199409689052331,-0.06963584621196273,2026-06-11 18:34:50
model3,2026-02-26,"VVS,GEE,VOS",3,0.0497724052693456,-0.032687080034753305,0.38764655590057373,0.004,0.045772405269345603,-0.30467622586510357,-0.6025447529076886,-0.10004673376829787,2026-06-11 18:34:50
model3,2026-02-27,PC1,1,-0.06633499170812607,-0.04078308064943876,0.4083057940006256,0.004,-0.07033499170812607,-0.35080052265680484,-0.6304997644162775,-0.13674960040575124,2026-06-11 18:34:50
model3,2026-03-02,"VOS,POW,DPR,CSV,NVL",5,-0.12300608241162073,-0.09208437396375967,0.4057826101779938,0.004,-0.12700608241162073,-0.43065600706846296,-0.677428541787937,-0.216241473026353,2026-06-11 18:34:50
model3,2026-03-03,"PVT,ELC,DGW,NVL,DPR",5,-0.08174327479175239,-0.07068094588085504,0.39141735434532166,0.004,-0.0857432747917524,-0.4771960495336991,-0.7050868749693902,-0.271638267055036,2026-06-11 18:34:50
model3,2026-03-04,"PVT,ELC,VCI,NVL",4,-0.051509208731555345,-0.04116203850105724,0.3847771883010864,0.004,-0.05550920873155535,-0.5041252673439496,-0.7214572691843896,-0.3016191207492134,2026-06-11 18:34:50
model3,2026-03-05,"DGW,GEE,ELC,NVL,VRE",5,-0.029115422091895903,-0.035712778058825036,0.37966156005859375,0.004,-0.0331154220918959,-0.5185628694899365,-0.7306813292859778,-0.3265602420904238,2026-06-11 18:34:50
model3,2026-03-06,"PVT,VVS,DRI,DPR,POW",5,-0.04203850244185081,-0.023602350175244705,0.40226611495018005,0.004,-0.046038502441850815,-0.5388017654764814,-0.7430803575652813,-0.3424550030785376,2026-06-11 18:34:50
model3,2026-03-09,"GDA,DGW,VRE,ACV,MML",5,0.07836917430193835,0.033310041009487326,0.4455135762691498,0.004,0.07436917430193835,-0.5026580406473615,-0.723973455895462,-0.3205521522655005,2026-06-11 18:34:50
model3,2026-03-10,"GEE,NLG,VOS,VRE,ELC",5,0.08143689249758128,0.027043335269003148,0.4221564829349518,0.004,0.07743689249758128,-0.4621560569690243,-0.7025988180731602,-0.3021776163214138,2026-06-11 18:34:50
model3,2026-03-11,"DGW,GEE,ANV,FRT,NLG",5,0.010907316520631238,-0.004966570615465899,0.4136224389076233,0.004,0.006907316520631238,-0.456289622843681,-0.7005445739759816,-0.3056434004670062,2026-06-11 18:34:50
model3,2026-03-12,"VCG,NVL,VVS,SHS,GEE",5,0.00796402305761552,-0.006194316706973318,0.4180731773376465,0.004,0.0039640230576155205,-0.45195950086334336,-0.6993575257624943,-0.3099444651520906,2026-06-11 18:34:50
model3,2026-03-13,"NVL,FCN,SHS,DGW,POW",5,-0.014717670655868199,-0.016709501814781896,0.43122902512550354,0.004,-0.0187176706558682,-0.4600253804357143,-0.7049848525804373,-0.32147494936393206,2026-06-11 18:34:50
model3,2026-03-16,"NVL,OIL,VCC,VCK,ELC",5,-0.08006622788371458,-0.05073465395432658,0.43399548530578613,0.004,-0.08406622788371458,-0.5032591113771705,-0.7297856631925579,-0.3558996830072948,2026-06-11 18:34:50
