trading_date,selected_symbols,selected_count,daily_return,benchmark_return,avg_buy_probability,daily_cost_rate,daily_return_net,cumulative_return,cumulative_return_net,benchmark_cumulative_return
2025-10-23,"TCI,IJC,NVL,VDS,SHS",5,-0.010445740784700642,0.0097193507457684,0.37374791502952576,0.004,-0.014445740784700642,-0.3692293957492806,-0.4909772786692447,-0.24575378288858774
2025-10-24,"TCI,NVL,SHS,IJC,NHA",5,-0.004362085059769205,0.013050061009434153,0.3730301856994629,0.004,-0.008362085059769205,-0.3719808707782243,-0.4952337699623677,-0.23591082373914884
2025-10-27,"TCI,VDS,SHS,NVL,HDG",5,-0.04439495790107064,0.002725159600951277,0.3825151324272156,0.004,-0.04839495790107064,-0.399861753581092,-0.519661910414921,-0.23382855878447872
2025-10-28,GEE,1,-0.027733912356888935,0.005625046236633914,0.35755032300949097,0.004,-0.03173391235688894,-0.416505935109291,-0.5349049172514895,-0.22951880900245303
2025-10-29,"HAG,CTP,HDG,SHS,IJC",5,-0.03372527685091151,-0.014637231865609267,0.3847467303276062,0.004,-0.03772527685091151,-0.43618443398859397,-0.5524507580101745,-0.24079652084317493
2025-10-30,"NVL,HT1,SHS,HDG",4,-0.01950118541046242,-0.017709100561819006,0.36876869201660156,0.004,-0.02350118541046242,-0.44717950587868716,-0.5629686957264894,-0.254241331602446
2025-10-31,"VRE,NVL,DCL,SHS,VDS",5,-0.03159143430988194,-0.03611087095884559,0.3887579143047333,0.004,-0.035591434309881945,-0.4646438982038771,-0.5785232666839021,-0.2811713266433906
2025-11-03,"SHS,VRE,NVL,DCL,VDS",5,-0.011811765459256263,-0.024447020408930143,0.4029772877693176,0.004,-0.015811765459256263,-0.47096739891547457,-0.5851875579376298,-0.2987445458914638
2025-11-04,"VRE,SHS,VDS,VHM,VCI",5,-0.056905986430959496,-0.027985470466654155,0.38712114095687866,0.004,-0.0609059864309595,-0.5010725209343257,-0.6104521189052736,-0.3183695096919984
2025-11-05,"SHS,VRE,VHM,NVL,VDS",5,-0.019756696460690382,-0.005986978116299539,0.38598108291625977,0.004,-0.023756696460690382,-0.5109296796941237,-0.6197064896733462,-0.3224504165208749
2025-11-06,"VRE,HT1,SHS,VHM,VDS",5,-0.012612943680141608,-0.001644917551730881,0.39215022325515747,0.004,-0.016612943680141608,-0.5170982960997705,-0.6260242843423263,-0.32356492972290773
2025-11-07,"SHS,VHM,NVL,DCL,HT1",5,0.045506932825517946,0.020682837198830538,0.3927856385707855,0.004,0.04150693282551794,-0.4951229206990547,-0.6105016994341481,-0.30957433328878714
2025-11-10,"VHM,GEE,HDG,HT1,VDS",5,0.07449256570162203,0.04677739627975929,0.389476478099823,0.004,0.07049256570162203,-0.457513331697986,-0.5830449648908397,-0.2772780182753197
2025-11-11,"VHM,VDS,HDG,GEE,SHS",5,0.06251813580175414,0.04256267731738501,0.3766404390335083,0.004,0.058518135801754134,-0.4235980764984396,-0.5586455335230966,-0.24651703577699113
2025-11-12,"NVL,SHS,GEE,VDS,VRE",5,0.033655549875641275,0.011761818042295254,0.3837338089942932,0.004,0.029655549875641275,-0.4041989528136173,-0.5455569241296538,-0.2376547062538309
2025-11-13,"NVL,GEE,AFX,DGC,VHM",5,0.024743768964853197,0.004815699808214229,0.3873198926448822,0.004,0.020743768964853197,-0.38945658935301986,-0.536130061956122,-0.23398348016894444
2025-11-14,"NVL,HAG,VRE,VHM,SHS",5,0.021757698366103927,0.0032363002048988523,0.4078764021396637,0.004,0.017757698366103927,-0.37617256998475057,-0.5278927995152356,-0.23150442074885924
2025-11-17,"NVL,HAG,DGW,VHM,VRE",5,0.03605924603414064,-0.011555027927281558,0.41012296080589294,0.004,0.032059246034140634,-0.353677823202985,-0.5127573986204051,-0.2403844086290986
2025-11-18,"NVL,VRE,ANV,AFX",4,0.012763995278701007,-0.02204677664348181,0.3957550823688507,0.004,0.008763995278701007,-0.34542816998982806,-0.5084872067623323,-0.25713148390695917
2025-11-19,"HAG,VRE,NVL",3,0.036592169111819096,0.0024564395483825077,0.36178699135780334,0.004,0.0325921691118191,-0.3214759668902629,-0.49246773868450766,-0.2553066723047799
2025-11-20,"VJC,VRE,SHS,AFX,NVL",5,0.031331570216888684,0.0030604457001133165,0.3741946816444397,0.004,0.027331570216888684,-0.30021674350303873,-0.478596085047027,-0.253027578812132
2025-11-21,"NVL,SHS,VRE",3,-0.0010247401551749895,0.004749251497939502,0.38303351402282715,0.004,-0.00502474015517499,-0.30093383950589025,-0.48121600423555666,-0.2494800189218861
2025-11-24,"NVL,VRE,SHS,HAG",4,-0.03261511759405991,-0.0037649391826905607,0.3858731985092163,0.004,-0.036615117594059915,-0.32373396453643355,-0.500211341246388,-0.25230568100603934
2025-11-25,NVL,1,-0.02941176470588247,0.013344044300496117,0.38850638270378113,0.004,-0.033411764705882474,-0.34362414205006797,-0.5169101623153323,-0.24232841489015455
2025-11-26,"GEE,NVL,DCL",3,0.07596668630867787,0.0028778240183436575,0.4240199029445648,0.004,0.07196668630867786,-0.2937614431485962,-0.48214378750776965,-0.240147969404509
2025-11-27,"GEE,SHS,NVL,DCL",4,0.03923755915943544,0.013784471732141654,0.3958258330821991,0.004,0.03523755915943544,-0.266050365993465,-0.46389579858399355,-0.22967381056815506
