time,symbol,open
2023-07-12 07:00:00,SSH,64.1
2023-07-13 07:00:00,SSH,64.1
2023-07-14 07:00:00,SSH,64.0
2023-07-17 07:00:00,SSH,64.2
2023-07-18 07:00:00,SSH,63.8
2023-07-19 07:00:00,SSH,63.7
2023-07-20 07:00:00,SSH,63.8
2023-07-21 07:00:00,SSH,63.8
2023-07-24 07:00:00,SSH,64.2
2023-07-25 07:00:00,SSH,64.0
2023-07-26 07:00:00,SSH,63.8
2023-07-27 07:00:00,SSH,64.0
2023-07-28 07:00:00,SSH,64.5
2023-07-31 07:00:00,SSH,64.5
2023-08-01 07:00:00,SSH,64.5
2023-08-02 07:00:00,SSH,68.3
