model_run_id,prediction_date,rank,target_date,symbol,real_close,predicted_close,actual_return,predicted_return,direction_correct,model_name,created_at
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-08,4,2025-09-15,HAV,4.1,4.0993176,0.05128205128205132,0.05110706427158451,1,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-08,5,2025-09-15,TTF,3.21,3.1512582,0.07000000000000006,0.050419410069783455,1,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-08,6,2025-09-15,KSQ,2.0,2.203869,-0.04761904761904767,0.04946147827875036,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-08,7,2025-09-15,DTI,2.7,2.8239698,0.0,0.04591475592719174,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-08,8,2025-09-15,GPC,2.7,2.8239698,0.0,0.04591475592719174,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-08,9,2025-09-19,NDC,128.0,130.5281,0.02400000000000002,0.04422485351562511,1,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-08,10,2025-09-15,GEE,64.06,61.835808,0.07772543741588156,0.040306322346786105,1,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-09,1,2025-09-16,CTR,88.96,92.18006,0.0363466915191053,0.07385905568886342,1,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-09,2,2025-09-16,KSQ,2.0,2.2449589,-0.04761904761904767,0.06902803693498871,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-09,3,2025-09-16,HHG,1.5,1.6924424,-0.0625,0.05777651071548462,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-09,4,2025-09-16,GPC,2.7,2.9224887,-0.03571428571428559,0.04374596050807411,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-09,5,2025-09-16,HID,3.23,3.0504074,0.10238907849829348,0.04109467906756614,1,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-09,6,2025-09-16,TTF,3.28,3.1587956,0.07540983606557372,0.03567068694067799,1,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-09,7,2025-09-16,FCM,3.97,4.0555854,0.012755102040816313,0.034588108257371575,1,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-09,8,2025-09-16,VE9,4.1,4.6509957,-0.08888888888888902,0.03355460696750212,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-09,9,2025-09-16,DTI,2.7,2.8927143,-0.03571428571428559,0.03311223643166694,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-09,10,2025-10-06,SD2,3.8,4.2336965,-0.07317073170731703,0.03260889285948232,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-10,1,2025-09-17,HHG,1.5,1.6610371,0.0,0.10735805829366041,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-10,2,2025-09-17,CTR,89.45,92.18006,0.043270352227665176,0.07511151551588569,1,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-10,3,2025-09-17,KSQ,2.1,2.2399223,0.0,0.06662965956188382,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-10,4,2025-09-17,VEF,135.06,138.22298,0.03980291015474635,0.06415410489314288,1,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-10,5,2025-09-17,DRH,2.99,3.107081,0.01013513513513531,0.04968950555131246,1,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-10,6,2025-09-17,DTI,2.6,2.8239698,-0.03703703703703709,0.04591475592719174,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-10,7,2025-09-17,GPC,2.7,2.8239698,0.0,0.04591475592719174,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-10,8,2025-09-23,BTN,2.9,3.1306462,-0.033333333333333326,0.043548742930094475,0,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-10,9,2025-09-17,DLG,2.97,3.04049,0.017123287671233056,0.04126366850447982,1,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-10,10,2025-09-18,E12,5.6,5.2952275,0.0980392156862746,0.038279907376158606,1,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-11,1,2025-09-18,HHG,1.6,1.6307179,0.06666666666666665,0.08714524904886889,1,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-11,2,2025-09-18,CTR,88.86,92.19435,0.04112478031634459,0.08019157816390243,1,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-11,3,2025-09-19,KSQ,2.1,2.152083,0.050000000000000044,0.07604146003723145,1,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-11,4,2025-09-18,VEF,135.06,141.01253,0.02171117331114303,0.06674126231802946,1,model1,2026-06-15 06:49:36
7b9c460a-580e-404a-b04b-56b29c2dcb76,2025-09-11,5,2025-09-18,DRH,3.0,2.8798807,0.0869565217391306,0.04343502417854639,1,model1,2026-06-15 06:49:36
