trading_date,selected_symbols,selected_count,daily_return,benchmark_return,avg_predicted_return,daily_cost_rate,daily_return_net,cumulative_return,cumulative_return_net,benchmark_cumulative_return
2025-06-04,"VJC,DGC,CTR,PHC,JVC,VIG,EVS,VTD,TDT,HAP",10,-0.003070849325698721,-0.014287093627256752,0.030329585538344594,0.004,-0.007070849325698721,0.10451041096452496,-0.3945560842698701,0.10447398559757493
2025-06-05,"VJC,DGC,CTR,VPG,JVC,VTD,VIG,ASM,HBS,EVS",10,-0.02632414766757183,-0.011924932568447162,0.029126135749496497,0.004,-0.03032414766757183,0.07543511580592432,-0.41291565497490346,0.09130320779571965
2025-06-06,"VJC,DGC,VPG,CTR,JVC,VPH,EVG,SAM,ASM,EVS",10,-0.01885163818561174,-0.004305792358142122,0.03966205550294499,0.004,-0.022851638185611742,0.05516140211064946,-0.4263314940118538,0.08660428278317678
2025-06-09,"VJC,DGC,CTR,VPG,IDI,VPH,BCM,EVG,TCI,SAM",10,0.017090909352665228,0.017222552780897758,0.04195634403747239,0.004,0.013090909352665228,0.07319506998655378,-0.4188216516014841,0.10531838239535962
2025-06-10,"VJC,DGC,CTR,VPG,IDI,EVG,HAP,VIG,ASM,SAM",10,0.01987535840485386,0.021771998912279978,0.03549666117128782,0.004,0.01587535840485386,0.09452520664085884,-0.40959523702351663,0.12938337301459457
2025-06-11,"VJC,DGC,IDI,ASM,ACV,HAP,EVG,GEE,VTD,VIG",10,0.012743851542213913,0.013073438001875078,0.03144651368467666,0.004,0.008743851542213913,0.108473673383501,-0.40443282542623415,0.14414829652204952
2025-06-12,"VJC,DGC,VPG,EVG,VPH,HAP,IDI,SAM,ASM,JVC",10,-0.004864647151296464,0.010017764150818563,0.029963115418672182,0.004,-0.008864647151296465,0.1030813400859889,-0.4097123182837251,0.1556101043101683
2025-06-13,"VJC,DGC,VPG,VPH,S99,HAP,EVG,IDI,ASM,TCI",10,0.022149559715064226,0.01958791071316047,0.034726575635357707,0.004,0.018149559715064226,0.12751410609879654,-0.39899885675534874,0.17824609185262186
2025-06-16,"VJC,VHM,VPG,PHC,VTD,SAM,ASM,EVG,IDI,TDT",10,0.014557765386235022,0.005913929465171457,0.026311950888994896,0.004,0.010557765386235022,0.14392819192505324,-0.39265362768811274,0.1852141561324523
2025-06-17,"VJC,EVS,VPG,JVC,EVG,ASM,SAM,HAP,IDI,DST",10,0.007022020745295865,-0.00013387952918609796,0.0254353693906477,0.004,0.003022020745295865,0.15196087941987968,-0.39081821435140607,0.18505548021924456
2025-06-18,"VJC,VPG,EVS,JVC,EVG,IDI,VIG,TDT,MSN,ASM",10,0.005788306155193335,0.0017557639337598633,0.024255388305878856,0.004,0.0017883061551933347,0.1586287816687677,-0.38972881081449906,0.18713615789091786
