symbol,date
BVS,2026-05-06 07:00:00
BWA,2026-05-06 07:00:00
CCI,2026-05-06 07:00:00
CCR,2026-05-06 07:00:00
CDN,2026-05-06 07:00:00
CDP,2026-05-06 07:00:00
CIA,2026-05-06 07:00:00
CID,2026-05-06 07:00:00
CKD,2026-05-06 07:00:00
CLM,2026-05-06 07:00:00
CLX,2026-05-06 07:00:00
CMM,2026-05-06 07:00:00
CMN,2026-05-06 07:00:00
CQN,2026-05-06 07:00:00
CRE,2026-05-06 07:00:00
CSC,2026-05-06 07:00:00
CSM,2026-05-06 07:00:00
CST,2026-05-06 07:00:00
CSV,2026-05-06 07:00:00
CTB,2026-05-06 07:00:00
CTG,2026-05-06 07:00:00
CTI,2026-05-06 07:00:00
CTP,2026-05-06 07:00:00
CTR,2026-05-06 07:00:00
CTX,2026-05-06 07:00:00
D2D,2026-05-06 07:00:00
DAT,2026-05-06 07:00:00
DBC,2026-05-06 07:00:00
DBD,2026-05-06 07:00:00
DCL,2026-05-06 07:00:00
DGC,2026-05-06 07:00:00
DGW,2026-05-06 07:00:00
DHA,2026-05-06 07:00:00
DHB,2026-05-06 07:00:00
DHD,2026-05-06 07:00:00
DHM,2026-05-06 07:00:00
DIH,2026-05-06 07:00:00
DLG,2026-05-06 07:00:00
DNC,2026-05-06 07:00:00
DPC,2026-05-06 07:00:00
DPR,2026-05-06 07:00:00
DRH,2026-05-06 07:00:00
DRI,2026-05-06 07:00:00
DSC,2026-05-06 07:00:00
DST,2026-05-06 07:00:00
DTI,2026-05-06 07:00:00
DTL,2026-05-06 07:00:00
DVN,2026-05-06 07:00:00
DXV,2026-05-06 07:00:00
E12,2026-05-06 07:00:00
EIN,2026-05-06 07:00:00
ELC,2026-05-06 07:00:00
EVG,2026-05-06 07:00:00
EVS,2026-05-06 07:00:00
FCM,2026-05-06 07:00:00
FCN,2026-05-06 07:00:00
FDC,2026-05-06 07:00:00
FRT,2026-05-06 07:00:00
GDA,2026-05-06 07:00:00
GEE,2026-05-06 07:00:00
GHC,2026-05-06 07:00:00
GMC,2026-05-06 07:00:00
GMH,2026-05-06 07:00:00
GND,2026-05-06 07:00:00
GPC,2026-05-06 07:00:00
GSM,2026-05-06 07:00:00
GSP,2026-05-06 07:00:00
